title,director,year,runtime,genres,strands,description,synopsis,languages,session_date,session_venue,session_time,film_url
Greetings From Mars,Sarah Winkenstette,2024,84 mins,"Drama, Comedy",MIFF Schools,Is there life on Mars? One young lad with autism wants to find out … if he can only conquer four weeks at his grandparents’ place in the country first.,"Tom, a 10-year-old living with his widowed mum and two teenage siblings, dreams of becoming an astronaut and steering a rocket to Mars. He has the mathematical wit to make it work, but he’s also afraid of disruptions to his routine – and particularly the colour red, which could be a drawback on the rust-hued Martian landscape. So when he’s packed off to his grandparents’ house with his elder sister and brother while his mum takes a month-long business trip to China, Tom’s world is turned upside down. To help him cope with the change, his mum suggests that he treat his stay as a space-faring adventure – a mission he embraces wholeheartedly.",German,20 Aug,ACMI 1,10:00am,https://miff.com.au/program/film/greetings-from-mars
Greetings From Mars,Sarah Winkenstette,2024,84 mins,"Drama, Comedy",MIFF Schools,Is there life on Mars? One young lad with autism wants to find out … if he can only conquer four weeks at his grandparents’ place in the country first.,"Tom, a 10-year-old living with his widowed mum and two teenage siblings, dreams of becoming an astronaut and steering a rocket to Mars. He has the mathematical wit to make it work, but he’s also afraid of disruptions to his routine – and particularly the colour red, which could be a drawback on the rust-hued Martian landscape. So when he’s packed off to his grandparents’ house with his elder sister and brother while his mum takes a month-long business trip to China, Tom’s world is turned upside down. To help him cope with the change, his mum suggests that he treat his stay as a space-faring adventure – a mission he embraces wholeheartedly.",German,21 Aug,Theatre Royal Castlemaine,10:00am,https://miff.com.au/program/film/greetings-from-mars
Rue Mallet-Stevens,Chantal Akerman,1986,8 mins,Experimental,Chantal Akerman: Traces,"Mystery, modernism and romance come alive after dark in the 16th arrondissement.","Tucked away in Paris is a street named after the famous interwar-period architect Robert Mallet-Stevens. It contains five of his buildings, all odes to a modernist aesthetic with a cubist influence, and is the place where Chantal Akerman shot this moody short film, commissioned to celebrate a century of his life. As the camera moves from strangers on the street to an apartment, the director’s partner Sonia Wieder-Artherton plays the cello while being circled by Akerman herself, in drag, bearing a rose.",No Dialogue,11 Aug,Kino 2,8:45pm,https://miff.com.au/program/film/rue-mallet-stevens
Songs Inside,Shalom Almond,2024,93 mins,Documentary,"Australian, Documentaries, Crime & Punishment","A unique rehabilitation program connecting female prisoners to music offers a path to healing and hope in this sensitively told, award-winning documentary.","Inside Adelaide Women’s Prison, a transformative process is unfolding. Over six months, a group of women – named the Songbirds – will learn the ukulele and write original songs. They will then perform alongside the Adelaide Symphony Orchestra in front of 200 inmates and special guests as part of the largest concert ever staged within an Australian correctional facility. Led by Barkindji singer-songwriter Nancy Bates, this program offers more than a creative outlet to those serving time: it affords an opportunity for them to reclaim their voices and stories within a system that often silences them.",English,16 Aug,ACMI 1,6:00pm,https://miff.com.au/program/film/songs-inside
Songs Inside,Shalom Almond,2024,93 mins,Documentary,"Australian, Documentaries, Crime & Punishment","A unique rehabilitation program connecting female prisoners to music offers a path to healing and hope in this sensitively told, award-winning documentary.","Inside Adelaide Women’s Prison, a transformative process is unfolding. Over six months, a group of women – named the Songbirds – will learn the ukulele and write original songs. They will then perform alongside the Adelaide Symphony Orchestra in front of 200 inmates and special guests as part of the largest concert ever staged within an Australian correctional facility. Led by Barkindji singer-songwriter Nancy Bates, this program offers more than a creative outlet to those serving time: it affords an opportunity for them to reclaim their voices and stories within a system that often silences them.",English,17 Aug,Kino 2,6:45pm,https://miff.com.au/program/film/songs-inside
A Poet,Simón Mesa Soto,2025,120 mins,"Drama, Comedy",Bright Horizons,"In this sardonic Cannes Un Certain Regard Jury Prize winner, a washed-up poet decides to mentor a promising young writer in a bid to vicariously relive his glory days.","Once a lauded literary darling, middle-aged Óscar is now broke, unemployed and back at home with his ageing mother. The creative juices just won’t flow anymore, so instead he spends his time starting bar fights, visiting his teenage daughter (much to her chagrin) and signing up for last-ditch spoken-word gigs. When he finally lands a job – as a high school teacher – he meets Yurlady, a student whose impoverished origins belie her poetic gifts. Óscar’s name may be all but forgotten, but perhaps he could scab a smidge of the spotlight if he takes this reluctant wordsmith under his wing.",Spanish,20 Aug,Hoyts 11,9:30pm,https://miff.com.au/program/film/a-poet
A Poet,Simón Mesa Soto,2025,120 mins,"Drama, Comedy",Bright Horizons,"In this sardonic Cannes Un Certain Regard Jury Prize winner, a washed-up poet decides to mentor a promising young writer in a bid to vicariously relive his glory days.","Once a lauded literary darling, middle-aged Óscar is now broke, unemployed and back at home with his ageing mother. The creative juices just won’t flow anymore, so instead he spends his time starting bar fights, visiting his teenage daughter (much to her chagrin) and signing up for last-ditch spoken-word gigs. When he finally lands a job – as a high school teacher – he meets Yurlady, a student whose impoverished origins belie her poetic gifts. Óscar’s name may be all but forgotten, but perhaps he could scab a smidge of the spotlight if he takes this reluctant wordsmith under his wing.",Spanish,21 Aug,IMAX Melbourne,6:15pm,https://miff.com.au/program/film/a-poet
A Poet,Simón Mesa Soto,2025,120 mins,"Drama, Comedy",Bright Horizons,"In this sardonic Cannes Un Certain Regard Jury Prize winner, a washed-up poet decides to mentor a promising young writer in a bid to vicariously relive his glory days.","Once a lauded literary darling, middle-aged Óscar is now broke, unemployed and back at home with his ageing mother. The creative juices just won’t flow anymore, so instead he spends his time starting bar fights, visiting his teenage daughter (much to her chagrin) and signing up for last-ditch spoken-word gigs. When he finally lands a job – as a high school teacher – he meets Yurlady, a student whose impoverished origins belie her poetic gifts. Óscar’s name may be all but forgotten, but perhaps he could scab a smidge of the spotlight if he takes this reluctant wordsmith under his wing.",Spanish,22 Aug,Hoyts 3,8:30pm,https://miff.com.au/program/film/a-poet
Salt Saliva Sperm & Sweat,Philip Brophy,1988,47 mins,"Comedy, Experimental",,"A yuppie writer and his co-workers spend four days tasting and digesting, spitting profanities, gratifying sexual urges, and indulging appetites for violence.","Philip Brophy’s fascination with bodies seeps through to this featurette, which won Best Australian Short Award at MIFF 1988.",English,21 Aug,ACMI 2,9:00pm,https://miff.com.au/program/film/salt-saliva-sperm-sweat
Salt Saliva Sperm & Sweat,Philip Brophy,1988,47 mins,"Comedy, Experimental",,"A yuppie writer and his co-workers spend four days tasting and digesting, spitting profanities, gratifying sexual urges, and indulging appetites for violence.","Philip Brophy’s fascination with bodies seeps through to this featurette, which won Best Australian Short Award at MIFF 1988.",English,22 Aug,ACMI 2,11:15pm,https://miff.com.au/program/film/salt-saliva-sperm-sweat
Happyend,Neo Sora,2024,113 mins,Drama,"Asia Pacific, MIFF Schools","In a dystopian urban landscape where technology is used to curb civil liberties and student rights, a diverse group of teenagers struggle to maintain their long-held friendships.","Tokyo, sometime in the near future: against a backdrop of constant government warnings about an imminent mega-earthquake that never seems to arrive, five music-loving high schoolers stage an elaborate prank on their principal’s prized sports car. In response, their school installs an all-seeing facial-recognition surveillance system that uses AI to monitor and punish student behaviour. As both the school and Japanese society grow more repressive – with climate panic and nationalism used as cynical political tools – the group’s bond is put to the test. When it feels like the world is ending, do you protest and fight, or just opt out and have fun?",Japanese,15 Aug,ACMI 1,10:00am,https://miff.com.au/program/film/happyend
Happyend,Neo Sora,2024,113 mins,Drama,"Asia Pacific, MIFF Schools","In a dystopian urban landscape where technology is used to curb civil liberties and student rights, a diverse group of teenagers struggle to maintain their long-held friendships.","Tokyo, sometime in the near future: against a backdrop of constant government warnings about an imminent mega-earthquake that never seems to arrive, five music-loving high schoolers stage an elaborate prank on their principal’s prized sports car. In response, their school installs an all-seeing facial-recognition surveillance system that uses AI to monitor and punish student behaviour. As both the school and Japanese society grow more repressive – with climate panic and nationalism used as cynical political tools – the group’s bond is put to the test. When it feels like the world is ending, do you protest and fight, or just opt out and have fun?",Japanese,21 Aug,ACMI 1,12:30pm,https://miff.com.au/program/film/happyend
Happyend,Neo Sora,2024,113 mins,Drama,"Asia Pacific, MIFF Schools","In a dystopian urban landscape where technology is used to curb civil liberties and student rights, a diverse group of teenagers struggle to maintain their long-held friendships.","Tokyo, sometime in the near future: against a backdrop of constant government warnings about an imminent mega-earthquake that never seems to arrive, five music-loving high schoolers stage an elaborate prank on their principal’s prized sports car. In response, their school installs an all-seeing facial-recognition surveillance system that uses AI to monitor and punish student behaviour. As both the school and Japanese society grow more repressive – with climate panic and nationalism used as cynical political tools – the group’s bond is put to the test. When it feels like the world is ending, do you protest and fight, or just opt out and have fun?",Japanese,24 Aug,Hoyts 7,11:00am,https://miff.com.au/program/film/happyend
La Chambre,Chantal Akerman,1972,11 mins,"Documentary, Experimental",Chantal Akerman: Traces,Akerman creates an intimate still life in fluid form in this influential film that cleverly rearranges time and space.,"Filmed the day after wrappingHotel Montereyon a 16mm reel left over from that shoot – with cinematographer Babette Mangolte again behind the lens –La Chambreis a defining work within Akerman’s career. Inspired by the avant-garde cinema scene she was exposed to in New York, particularly the work of Michael Snow, this ingenious experimental short silently takes in the interior of a room belonging to a SoHo flat. Beginning with multiple 360-degree rotations featuring the director occasionally appearing in frame on the bed – eating an apple, meeting our gaze – what comes to be an expected rhythm is broken when the camera gives way to a new pattern.",No Dialogue,17 Aug,Kino 2,4:15pm,https://miff.com.au/program/film/la-chambre
Contact Lens,Ruiqi Lu,2025,78 mins,Experimental,Experimentations,"In this radically sensory homage toJeanne Dielman, Chantal Akerman’s masterpiece becomes a canvas for reimagining women’s emancipation from both the constraints of daily life and the limits of the cinematic frame.","A young woman goes about her day as a shot-by-shot remake of Chantal Akerman’sJeanne Dielman, 23, quai du Commerce, 1080 Bruxelles– complete with a Chinese actor in a wig – plays on a projector screen in her small apartment. Through the process of repeatedly watching a film that depicts a woman’s daily routine slowly unravelling, the protagonist becomes transfixed by the possibilities of changing her own perspective, both literally and symbolically.",Mandarin,15 Aug,ACMI 2,3:45pm,https://miff.com.au/program/film/contact-lens
Contact Lens,Ruiqi Lu,2025,78 mins,Experimental,Experimentations,"In this radically sensory homage toJeanne Dielman, Chantal Akerman’s masterpiece becomes a canvas for reimagining women’s emancipation from both the constraints of daily life and the limits of the cinematic frame.","A young woman goes about her day as a shot-by-shot remake of Chantal Akerman’sJeanne Dielman, 23, quai du Commerce, 1080 Bruxelles– complete with a Chinese actor in a wig – plays on a projector screen in her small apartment. Through the process of repeatedly watching a film that depicts a woman’s daily routine slowly unravelling, the protagonist becomes transfixed by the possibilities of changing her own perspective, both literally and symbolically.",Mandarin,20 Aug,Kino 2,9:15pm,https://miff.com.au/program/film/contact-lens
Cactus Pears,Rohan Parashuram Kanawade,2025,112 mins,Drama,Asia Pacific,"The unsaid speaks volumes in this Sundance Grand Jury Prize–winning, Marathi-language queer romance set in rural India.","After the death of his father, 30-year-old Mumbai call centre worker Anand joins his mother in returning to their family’s Maharashtra village for the requisite 10-day period of mourning. While there, amid the pressures not just to adhere to tradition but also to hide his sexuality, he reconnects with childhood friend Balya, now a farmhand. As both men find solace in each other, their conversations evolve into caresses and more – a blossoming relationship that offers freedom from stifling cultural expectations.",Marathi,15 Aug,Kino 2,6:00pm,https://miff.com.au/program/film/cactus-pears
Cactus Pears,Rohan Parashuram Kanawade,2025,112 mins,Drama,Asia Pacific,"The unsaid speaks volumes in this Sundance Grand Jury Prize–winning, Marathi-language queer romance set in rural India.","After the death of his father, 30-year-old Mumbai call centre worker Anand joins his mother in returning to their family’s Maharashtra village for the requisite 10-day period of mourning. While there, amid the pressures not just to adhere to tradition but also to hide his sexuality, he reconnects with childhood friend Balya, now a farmhand. As both men find solace in each other, their conversations evolve into caresses and more – a blossoming relationship that offers freedom from stifling cultural expectations.",Marathi,17 Aug,Hoyts 3,4:15pm,https://miff.com.au/program/film/cactus-pears
ACE,Raymond Edwards,2024,15 mins,"Drama, Adventure",,"Riding along with his imaginary daredevil friend ACE, six-year-old Jimmy sets out on an epic quest to save his parents’ marriage.","We Are Still Here(MIFF 2022) cinematographer Raymond Edwards makes a vibrant directorial debut with this wonderfully bright and visually inventive adventure, a fanciful world of imagination and play that doubles as a beautiful portrait of a young child connecting with his whakapapa. Featuring a soulful soundtrack in te reo by Aotearoa musician Mara TK.",English,14 Aug,ACMI 1,4:15pm,https://miff.com.au/program/film/ace
ACE,Raymond Edwards,2024,15 mins,"Drama, Adventure",,"Riding along with his imaginary daredevil friend ACE, six-year-old Jimmy sets out on an epic quest to save his parents’ marriage.","We Are Still Here(MIFF 2022) cinematographer Raymond Edwards makes a vibrant directorial debut with this wonderfully bright and visually inventive adventure, a fanciful world of imagination and play that doubles as a beautiful portrait of a young child connecting with his whakapapa. Featuring a soulful soundtrack in te reo by Aotearoa musician Mara TK.",English,24 Aug,ACMI 1,10:45am,https://miff.com.au/program/film/ace
Bleat!,Ananth Subramaniam,2024,16 mins,"Drama, Comedy",,"When a male goat who was raised to be a sacrificial offering falls pregnant, a remote Tamil community wonders if it’s a curse or a miracle.","Cheekily poking fun at notions of conservatism, superstition and humanity’s obsession with projecting emotions onto animals, this playful portrait of a sexually adventurous and gender-fluid goat is filled with eye-catching black-and-white cinematography, incredible percussive music and a delightful hint of the supernatural.",Tamil,9 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/bleat
Bleat!,Ananth Subramaniam,2024,16 mins,"Drama, Comedy",,"When a male goat who was raised to be a sacrificial offering falls pregnant, a remote Tamil community wonders if it’s a curse or a miracle.","Cheekily poking fun at notions of conservatism, superstition and humanity’s obsession with projecting emotions onto animals, this playful portrait of a sexually adventurous and gender-fluid goat is filled with eye-catching black-and-white cinematography, incredible percussive music and a delightful hint of the supernatural.",Tamil,21 Aug,Kino 1,9:15pm,https://miff.com.au/program/film/bleat
INFINIT3,Riley Blakeway,2025,11 mins,Drama,,"Talk to MeandBabygirlactor Sophie Wilde stars as a young woman who dances through life, death and the beyond in search of self.","Filmmaker Riley Blakeway (A Thousand Odd Days, MIFF 2024) returns with a vibrant dance piece that flows through painful memories and spectral states, with a bracing lead turn from co-creator Wilde, evocative choreography and a propulsive electronic soundtrack. FeaturingHeartbreak High's Brodie Townsend.",English,13 Aug,ACMI 1,3:30pm,https://miff.com.au/program/film/infinit3
INFINIT3,Riley Blakeway,2025,11 mins,Drama,,"Talk to MeandBabygirlactor Sophie Wilde stars as a young woman who dances through life, death and the beyond in search of self.","Filmmaker Riley Blakeway (A Thousand Odd Days, MIFF 2024) returns with a vibrant dance piece that flows through painful memories and spectral states, with a bracing lead turn from co-creator Wilde, evocative choreography and a propulsive electronic soundtrack. FeaturingHeartbreak High's Brodie Townsend.",English,23 Aug,ACMI 1,10:30am,https://miff.com.au/program/film/infinit3
Common Pear,Gregor Božič,2025,15 mins,"Drama, Sci-Fi",,"In a climate-ravaged future, a team of scientists analyse footage of farmers from the past, hoping to understand their emotional connection to the land.","Slovenian filmmaker Gregor Božič, who also serves as cinematographer onFiume o morte!(MIFF 2025), returns with this haunting yet strangely optimistic slice of science fiction dreaming, in which footage of rustic farmers carries the seed of emotional regeneration for a future that has become disconnected from the earth. It’s a provocative and affecting work that captures the enduring vitality of life – and of the moving image.","English, French, Italian, Slovenian",8 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/common-pear
Common Pear,Gregor Božič,2025,15 mins,"Drama, Sci-Fi",,"In a climate-ravaged future, a team of scientists analyse footage of farmers from the past, hoping to understand their emotional connection to the land.","Slovenian filmmaker Gregor Božič, who also serves as cinematographer onFiume o morte!(MIFF 2025), returns with this haunting yet strangely optimistic slice of science fiction dreaming, in which footage of rustic farmers carries the seed of emotional regeneration for a future that has become disconnected from the earth. It’s a provocative and affecting work that captures the enduring vitality of life – and of the moving image.","English, French, Italian, Slovenian",18 Aug,Kino 1,9:15pm,https://miff.com.au/program/film/common-pear
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,10 Aug,Hoyts 11,3:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,14 Aug,The Astor Theatre,9:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,16 Aug,The Pivotonian Cinema Geelong,6:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,17 Aug,Showbiz Cinema Ballarat,4:00pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,22 Aug,Village Cinemas Shepparton,6:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,22 Aug,Peninsula Cinemas Rosebud,7:10pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,23 Aug,The Astor Theatre,6:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,23 Aug,Village Cinemas Geelong,8:45pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,24 Aug,Theatre Royal Castlemaine,4:00pm,https://miff.com.au/program/film/sorry-baby
"Sorry, Baby",Eva Victor,2025,104 mins,Drama,Headliners,"One of Sundance’s buzziest debuts, this A24-backed dramedy about a young woman’s recovery from trauma announces writer/director/star Eva Victor as a formidable new talent.","Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",English,24 Aug,Village Cinemas Morwell,6:45pm,https://miff.com.au/program/film/sorry-baby
"Reverse Angle: New York, March 1982",Wim Wenders,1982,18 mins,Documentary,,"Wim Wenders’s evocative diary film finds him working with hisHammettproducer Francis Ford Coppola in New York, capturing a filmmaker reflecting on the Hollywood process.","An account of his time working on his first American feature,Hammett, Wim Wenders’s 1982 docu-diary reflects on his time in New York: wandering the streets, taking the subway and negotiating with Francis Ford Coppola in the editing suite. Both an invaluable time capsule of the city and an exploration of the differences in filmmaking processes between Europe and the United States,Reverse Angle: New York, March 1982is a fascinating glimpse into the documentary approach Wenders would develop across his subsequent features.","English, German",14 Aug,Kino 1,6:45pm,https://miff.com.au/program/film/reverse-angle-new-york-march-1982
Lucky Lu,Lloyd Lee Choi,2025,103 mins,Drama,North America,"Fresh from Cannes Directors’ Fortnight, Lloyd Lee Choi’s first feature pulses with the desperate plight of an immigrant gig worker whose fate is tied to a stolen e-bike.","Like so many immigrants living in New York City, Lu (Chang Chen,The Assassin, MIFF 2015) works as a food-delivery driver, seeking to scrounge together enough cash to pay for a new apartment before the long-awaited arrival from Taipei of the wife and daughter he hasn’t seen in five years. But when his e-bike is stolen, he’s thrown into a frantic search for both the missing vehicle and the money he needs now that his only source of income has been taken from him.",English,12 Aug,ACMI 2,1:15pm,https://miff.com.au/program/film/lucky-lu
Lucky Lu,Lloyd Lee Choi,2025,103 mins,Drama,North America,"Fresh from Cannes Directors’ Fortnight, Lloyd Lee Choi’s first feature pulses with the desperate plight of an immigrant gig worker whose fate is tied to a stolen e-bike.","Like so many immigrants living in New York City, Lu (Chang Chen,The Assassin, MIFF 2015) works as a food-delivery driver, seeking to scrounge together enough cash to pay for a new apartment before the long-awaited arrival from Taipei of the wife and daughter he hasn’t seen in five years. But when his e-bike is stolen, he’s thrown into a frantic search for both the missing vehicle and the money he needs now that his only source of income has been taken from him.",English,23 Aug,Hoyts 7,3:30pm,https://miff.com.au/program/film/lucky-lu
Lesbian Space Princess,Emma Hough Hobbs,2024,86 mins,Animation,"Australian, Animation","Set in a gaylaxy far, far away, this is the multi-award-winning Australian animated musical rom-com of your rainbow alphabet dreams.","Introverted and anxiety-ridden, Saira’s only escape from the burden of being heir to her planet’s throne is her thrilling new love: aggressively extroverted bounty hunter Kiki the Destroyer. Unfortunately for Saira, Kiki’s just dumped her … and unfortunately for Kiki, she’s just been abducted by a gang of marauding incels known as the Straight White Maliens, and only her now ex-girlfriend can save her! But to win Kiki’s freedom, and hopefully her love, Saira must face an even scarier enemy: her own self-doubt.",English,15 Aug,Forum,9:15pm,https://miff.com.au/program/film/lesbian-space-princess
Lesbian Space Princess,Emma Hough Hobbs,2024,86 mins,Animation,"Australian, Animation","Set in a gaylaxy far, far away, this is the multi-award-winning Australian animated musical rom-com of your rainbow alphabet dreams.","Introverted and anxiety-ridden, Saira’s only escape from the burden of being heir to her planet’s throne is her thrilling new love: aggressively extroverted bounty hunter Kiki the Destroyer. Unfortunately for Saira, Kiki’s just dumped her … and unfortunately for Kiki, she’s just been abducted by a gang of marauding incels known as the Straight White Maliens, and only her now ex-girlfriend can save her! But to win Kiki’s freedom, and hopefully her love, Saira must face an even scarier enemy: her own self-doubt.",English,17 Aug,ACMI 2,7:00pm,https://miff.com.au/program/film/lesbian-space-princess
Lesbian Space Princess,Emma Hough Hobbs,2024,86 mins,Animation,"Australian, Animation","Set in a gaylaxy far, far away, this is the multi-award-winning Australian animated musical rom-com of your rainbow alphabet dreams.","Introverted and anxiety-ridden, Saira’s only escape from the burden of being heir to her planet’s throne is her thrilling new love: aggressively extroverted bounty hunter Kiki the Destroyer. Unfortunately for Saira, Kiki’s just dumped her … and unfortunately for Kiki, she’s just been abducted by a gang of marauding incels known as the Straight White Maliens, and only her now ex-girlfriend can save her! But to win Kiki’s freedom, and hopefully her love, Saira must face an even scarier enemy: her own self-doubt.",English,23 Aug,ACMI 2,11:30pm,https://miff.com.au/program/film/lesbian-space-princess
Happy Holidays,Scandar Copti,2024,123 mins,Drama,Africa & Middle East,"Ripples of social coercion flow outwards in this tense, cleverly structured Palestinian family drama.","Between two Jewish holidays, a middle-class Arabic-speaking family in Haifa is flung into upheaval. Rami’s Jewish girlfriend Shirley is pregnant, and each blames the other for the vague, ominous threats their intercultural relationship has been attracting. When a car crash puts Rami’s free-spirited sister Fifi in hospital, their mum Hanan decides that a compensation payout could solve the financial problems caused by hapless patriarch Fouad … but a secret in Fifi’s medical history risks her family’s reputation, as well as her promising courtship with straitlaced doctor Walid.","Arabic, Hebrew",13 Aug,Forum,10:30am,https://miff.com.au/program/film/happy-holidays
Happy Holidays,Scandar Copti,2024,123 mins,Drama,Africa & Middle East,"Ripples of social coercion flow outwards in this tense, cleverly structured Palestinian family drama.","Between two Jewish holidays, a middle-class Arabic-speaking family in Haifa is flung into upheaval. Rami’s Jewish girlfriend Shirley is pregnant, and each blames the other for the vague, ominous threats their intercultural relationship has been attracting. When a car crash puts Rami’s free-spirited sister Fifi in hospital, their mum Hanan decides that a compensation payout could solve the financial problems caused by hapless patriarch Fouad … but a secret in Fifi’s medical history risks her family’s reputation, as well as her promising courtship with straitlaced doctor Walid.","Arabic, Hebrew",14 Aug,Kino 2,9:15pm,https://miff.com.au/program/film/happy-holidays
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,1979,201 mins,Drama,Chantal Akerman: Traces,"Voted the greatest film of all time inSight and Sound’s 2022 global poll of film critics, Chantal Akerman’s breakthrough masterpiece is a radically meticulous portrait of domestic disquiet – now restored in 4K.","Across the course of three hours and 21 minutes, the camera tracks the movements of widowed Belgian mother Jeanne (a riveting Delphine Seyrig,Golden Eighties, MIFF 2023) as she goes about her daily life over three days in her small Brussels apartment. Captured in immersive, lengthy takes, Jeanne prepares meals for herself and her teenage son, gathers groceries, tidies, and bathes. Amid these routine chores, Jeanne undertakes sex work from her own bedroom, greeting a different male client each afternoon. Over time, a subtle change occurs, and an air of unease creeps in, portentously destabilising her otherwise orderly environment.",French,9 Aug,The Capitol,2:00pm,https://miff.com.au/program/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles
Good Boy,Ben Leonberg,2025,73 mins,"Comedy, Horror",Night Shift,Find out what your pet is always staring at in that empty corner of the room in this haunted-house horror told entirely from a dog’s perspective.,"Indy the retriever and his human, Todd, leave the bustle of the city behind to move to a dilapidated country cabin that Todd’s grandfather once owned. But from the moment they arrive, Indy can sense something’s off: he sniffs out a malevolent presence lurking in the shadows, and growls at looming dark figures in the woods. At night, his doggy dreams are haunted by visions of an unfamiliar phantom pooch with an urgent warning.",English,8 Aug,ACMI 1,9:45pm,https://miff.com.au/program/film/good-boy
